Location_id,District Number,Borough,School Number
10207,07,Bronx,277
10208,07,Bronx,296
10209,07,Bronx,298
10210,07,Bronx,343
10211,07,Bronx,359
10212,07,Bronx,369
10213,07,Bronx,500
10214,07,Bronx,551
10215,07,Bronx,584
10216,08,Bronx,014
10217,08,Bronx,036
10218,08,Bronx,048
10219,08,Bronx,062
10220,08,Bronx,069
10221,08,Bronx,071
10222,08,Bronx,072
10223,08,Bronx,075
10224,08,Bronx,093
10225,08,Bronx,100
10226,08,Bronx,101
10227,08,Bronx,107
10228,08,Bronx,119
10229,08,Bronx,123
10230,08,Bronx,130
10231,08,Bronx,131
10232,08,Bronx,138
10233,08,Bronx,140
10234,08,Bronx,146
10235,08,Bronx,152
10236,08,Bronx,182
10237,08,Bronx,269
10238,08,Bronx,301
10239,08,Bronx,302
10240,08,Bronx,304
10241,08,Bronx,333
10242,08,Bronx,337
10243,08,Bronx,367
10244,08,Bronx,371
10245,08,Bronx,375
10246,08,Bronx,376
10247,08,Bronx,392
10248,08,Bronx,424
10249,08,Bronx,448
10250,08,Bronx,467
10251,08,Bronx,562
10252,08,Bronx,583
10253,09,Bronx,004
10254,09,Bronx,011
10255,09,Bronx,022
10256,09,Bronx,028
10257,09,Bronx,035
10258,09,Bronx,042
10259,09,Bronx,053
10260,09,Bronx,055
10261,09,Bronx,058
10262,09,Bronx,063
10263,09,Bronx,070
10264,09,Bronx,073
10265,09,Bronx,088
10266,09,Bronx,109
10267,09,Bronx,110
10268,09,Bronx,114
10269,09,Bronx,117
10270,09,Bronx,126
10271,09,Bronx,128
10272,09,Bronx,132
10273,09,Bronx,163
10274,09,Bronx,199
10275,09,Bronx,204
10276,09,Bronx,215
10277,09,Bronx,218
10278,09,Bronx,219
10279,09,Bronx,229
10280,09,Bronx,231
10281,09,Bronx,232
10282,09,Bronx,236
10283,09,Bronx,241
10284,09,Bronx,274
10285,09,Bronx,294
10286,09,Bronx,303
10287,09,Bronx,311
10288,09,Bronx,313
10289,09,Bronx,323
10290,09,Bronx,324
10291,09,Bronx,327
10292,09,Bronx,328
10293,09,Bronx,339
10294,09,Bronx,361
10295,09,Bronx,413
10296,09,Bronx,443
10297,09,Bronx,449
10298,09,Bronx,454
10299,09,Bronx,457
10300,09,Bronx,505
10301,09,Bronx,555
10302,09,Bronx,568
10303,09,Bronx,593
10304,09,Bronx,594
10305,10,Bronx,003
10306,10,Bronx,007
10307,10,Bronx,008
10308,10,Bronx,009
10309,10,Bronx,015
10310,10,Bronx,020
10311,10,Bronx,023
10312,10,Bronx,024
10313,10,Bronx,032
10314,10,Bronx,033
10315,10,Bronx,037
10316,10,Bronx,045
10317,10,Bronx,046
10318,10,Bronx,051
10319,10,Bronx,054
10320,10,Bronx,056
10321,10,Bronx,059
10322,10,Bronx,077
10323,10,Bronx,080
10324,10,Bronx,081
10325,10,Bronx,085
10326,10,Bronx,086
10327,10,Bronx,091
10328,10,Bronx,094
10329,10,Bronx,095
10330,10,Bronx,118
10331,10,Bronx,141
10332,10,Bronx,159
10333,10,Bronx,205
10334,10,Bronx,206
10335,10,Bronx,207
10336,10,Bronx,225
10337,10,Bronx,226
10338,10,Bronx,228
10339,10,Bronx,243
10340,10,Bronx,244
10341,10,Bronx,246
10342,10,Bronx,254
10343,10,Bronx,279
10344,10,Bronx,280
10345,10,Bronx,291
10346,10,Bronx,306
10347,10,Bronx,307
10348,10,Bronx,308
10349,10,Bronx,310
10350,10,Bronx,315
10351,10,Bronx,331
10352,10,Bronx,340
10353,10,Bronx,342
10354,10,Bronx,344
10355,10,Bronx,360
10356,29,Queens,360
10357,10,Bronx,363
